Symbol, Direction, Entry Date, Entry Price, Number of Shares, Stop Loss, Target, Exit Date, Exit Price, Holding Period, percentPL
AKS,LONG,2007-07-16,39.5,1,2.0,5.0,2007-07-19,38.71,3,-2
AKS,LONG,2007-10-17,51.32,1,2.0,5.0,2007-10-18,50.29,1,-2
AKS,LONG,2008-03-20,49.84,1,2.0,5.0,2008-03-24,52.74,1,5.82
AKS,LONG,2011-02-18,17.87,1,2.0,5.0,2011-02-22,16.8,1,-5.99
AKS,LONG,2012-09-14,6.45,1,2.0,5.0,2012-09-17,5.68,1,-11.94
AKS,LONG,2012-09-17,5.68,1,2.0,5.0,2012-09-18,5.57,1,-2
AKS,LONG,2013-11-08,5.11,1,2.0,5.0,2013-11-11,5.41,1,5.87
AKS,LONG,2014-07-22,8.57,1,2.0,5.0,2014-07-23,9,1,5
AKS,LONG,2015-04-29,5.19,1,2.0,5.0,2015-04-30,5.01,1,-3.47
AKS,SHORT,2015-09-28,2.22,1,2.0,5.0,2015-09-29,2.29,1,-3.15
AKS,LONG,2016-11-14,7.91,1,2.0,5.0,2016-11-15,7.75,1,-2
AKS,LONG,2016-12-05,10.06,1,2.0,5.0,2016-12-06,10.57,1,5.07
AAPL,LONG,2007-05-16,15.5,1,2.0,5.0,2007-05-23,16.29,5,5.06
AAPL,LONG,2007-10-12,23.29,1,2.0,5.0,2007-10-17,24.67,3,5.94
AAPL,LONG,2007-12-12,27.63,1,2.0,5.0,2007-12-13,27.08,1,-2
AAPL,LONG,2008-04-25,24.39,1,2.0,5.0,2008-04-30,25.6,3,5
AAPL,LONG,2008-05-08,26.25,1,2.0,5.0,2008-05-21,25.73,9,-2
AAPL,LONG,2008-05-15,26.69,1,2.0,5.0,2008-05-19,26.15,2,-2
AAPL,LONG,2009-04-07,16.65,1,2.0,5.0,2009-04-16,17.48,6,5
AAPL,LONG,2009-09-10,24.58,1,2.0,5.0,2009-09-16,25.81,4,5
AAPL,LONG,2010-03-10,31.98,1,2.0,5.0,2010-03-30,33.8,14,5.71
AAPL,LONG,2010-04-05,33.57,1,2.0,5.0,2010-04-15,35.25,8,5
AAPL,LONG,2010-04-19,35.29,1,2.0,5.0,2010-04-21,37.05,2,5
AAPL,LONG,2010-06-22,38.88,1,2.0,5.0,2010-06-25,38.1,3,-2
AAPL,LONG,2010-10-13,42.89,1,2.0,5.0,2010-10-18,45.5,3,6.09
AAPL,LONG,2010-11-10,45.23,1,2.0,5.0,2010-11-12,44.33,2,-2
AAPL,LONG,2010-12-08,45.66,1,2.0,5.0,2010-12-31,46.14,16,1.04
AAPL,LONG,2011-02-11,50.68,1,2.0,5.0,2011-02-22,48.88,6,-3.55
AAPL,LONG,2012-02-16,70.21,1,2.0,5.0,2012-02-23,73.72,4,5
AAPL,LONG,2012-02-28,75.42,1,2.0,5.0,2012-03-06,73.91,5,-2
AAPL,LONG,2012-09-11,95.02,1,2.0,5.0,2012-09-17,99.91,4,5.15
AAPL,LONG,2013-10-23,74.14,1,2.0,5.0,2013-11-14,74.69,16,0.73
AAPL,LONG,2013-10-30,74.23,1,2.0,5.0,2013-11-21,73.94,16,-0.39
AAPL,LONG,2014-06-10,94.73,1,2.0,5.0,2014-06-12,92.84,2,-2
AAPL,LONG,2014-07-09,95.44,1,2.0,5.0,2014-07-10,93.53,1,-2
AAPL,LONG,2014-07-17,95.03,1,2.0,5.0,2014-07-18,93.13,1,-2
AAPL,LONG,2014-08-28,101.59,1,2.0,5.0,2014-09-03,99.56,3,-2
AAPL,LONG,2014-11-17,114.27,1,2.0,5.0,2014-12-01,111.98,9,-2
AAPL,LONG,2015-04-29,130.16,1,2.0,5.0,2015-04-30,127.56,1,-2
AAPL,LONG,2016-03-30,108.65,1,2.0,5.0,2016-04-19,106.48,14,-2
BAC,SHORT,2007-07-12,48.6,1,2.0,5.0,2007-07-13,49.57,1,-2
BAC,SHORT,2007-07-26,47.34,1,2.0,5.0,2007-07-31,48.29,3,-2
BAC,SHORT,2007-08-07,48.04,1,2.0,5.0,2007-08-08,49,1,-2
BAC,SHORT,2008-01-23,36.83,1,2.0,5.0,2008-01-24,40.5,1,-9.96
BAC,SHORT,2008-07-15,19.55,1,2.0,5.0,2008-07-16,19.94,1,-2
BAC,LONG,2009-10-16,17.16,1,2.0,5.0,2009-10-21,16.82,3,-2
BAC,LONG,2011-01-18,15.08,1,2.0,5.0,2011-01-19,14.78,1,-2
BAC,LONG,2012-09-14,9.6,1,2.0,5.0,2012-09-17,9.39,1,-2.19
BAC,LONG,2012-12-21,11.2,1,2.0,5.0,2013-01-02,12.05,6,7.59
BAC,LONG,2012-12-28,11.32,1,2.0,5.0,2013-01-02,12.05,2,6.45
BAC,LONG,2013-03-19,12.79,1,2.0,5.0,2013-03-22,12.53,3,-2
BAC,LONG,2013-05-23,12.93,1,2.0,5.0,2013-05-30,13.58,4,5
BAC,LONG,2014-12-30,18.04,1,2.0,5.0,2015-01-05,17.68,3,-2
BAC,LONG,2015-01-02,17.99,1,2.0,5.0,2015-01-05,17.63,1,-2
BAC,LONG,2016-11-09,17.66,1,2.0,5.0,2016-11-10,18.54,1,5
BAC,LONG,2016-12-13,22.8,1,2.0,5.0,2016-12-14,22.31,1,-2.15
BAC,LONG,2016-12-15,22.9,1,2.0,5.0,2016-12-19,22.44,2,-2
BBY,SHORT,2007-08-07,44.16,1,2.0,5.0,2007-08-08,45.25,1,-2.47
BBY,LONG,2007-12-07,52.7,1,2.0,5.0,2007-12-11,51.65,2,-2
BBY,LONG,2007-12-12,52.24,1,2.0,5.0,2007-12-13,50.1,1,-4.1
BBY,LONG,2009-03-26,37,1,2.0,5.0,2009-04-01,38.85,4,5
BBY,LONG,2010-04-09,44.74,1,2.0,5.0,2010-04-22,46.98,9,5
BBY,LONG,2010-09-24,39.19,1,2.0,5.0,2010-09-30,41.15,4,5
BBY,LONG,2010-10-04,40.59,1,2.0,5.0,2010-10-19,42.62,11,5
BBY,LONG,2013-06-04,27.22,1,2.0,5.0,2013-06-14,26.68,8,-2
BBY,LONG,2013-08-05,31.19,1,2.0,5.0,2013-08-07,30.57,2,-2
BBY,LONG,2014-06-11,29.4,1,2.0,5.0,2014-06-12,28.81,1,-2
BBY,LONG,2014-06-26,30.38,1,2.0,5.0,2014-07-03,31.9,5,5
BBY,LONG,2014-09-22,34.42,1,2.0,5.0,2014-09-23,33.5,1,-2.67
BBY,LONG,2014-11-11,34.88,1,2.0,5.0,2014-11-20,38.54,7,10.49
BBY,LONG,2016-07-29,33.24,1,2.0,5.0,2016-08-02,32.58,2,-2
BCS,LONG,2007-07-19,54.99,1,2.0,5.0,2007-07-25,53.89,4,-2
BCS,LONG,2007-07-25,55.39,1,2.0,5.0,2007-07-26,52.16,1,-5.84
BCS,SHORT,2008-01-11,34.03,1,2.0,5.0,2008-01-14,35.07,1,-3.06
BCS,SHORT,2008-01-23,32.34,1,2.0,5.0,2008-01-24,36.29,1,-12.23
BCS,SHORT,2008-05-23,28.73,1,2.0,5.0,2008-06-02,26.53,5,7.64
BCS,SHORT,2008-06-13,22.73,1,2.0,5.0,2008-06-16,24.21,1,-6.53
BCS,SHORT,2008-07-09,21.9,1,2.0,5.0,2008-07-10,20.74,1,5.3
BCS,SHORT,2008-07-15,18.91,1,2.0,5.0,2008-07-16,19.29,1,-2
BCS,SHORT,2008-07-17,21.91,1,2.0,5.0,2008-07-18,23.41,1,-6.86
BCS,SHORT,2008-10-29,11.1,1,2.0,5.0,2008-10-30,12.43,1,-12.04
BCS,SHORT,2008-11-14,8.87,1,2.0,5.0,2008-11-17,8.42,1,5
